i,0,20200817,061415,64,2,1367,706,1433,800,CAM0/20200817061415.jpg
i,0,20200817,061418,67,2,1344,743,1443,799,CAM0/20200817061418.jpg
i,0,20200817,061421,86,2,1189,672,1268,744,CAM0/20200817061421.jpg
i,0,20200817,061945,92,2,1040,779,1118,837,CAM0/20200817061945.jpg
i,0,20200817,061948,83,2,1149,680,1208,767,CAM0/20200817061948.jpg
i,0,20200817,061951,62,2,1142,619,1219,685,CAM0/20200817061951.jpg
i,0,20200817,061954,49,2,1124,592,1213,647,CAM0/20200817061954.jpg
i,0,20200817,070842,69,2,712,940,793,1025,CAM0/20200817070842.jpg
i,0,20200817,070848,96,2,750,951,841,1012,CAM0/20200817070848.jpg
i,0,20200817,070851,68,2,768,953,855,1020,CAM0/20200817070851.jpg
i,0,20200817,070854,49,2,780,954,845,1027,CAM0/20200817070854.jpg
i,0,20200817,070906,45,2,978,868,1037,943,CAM0/20200817070906.jpg
i,0,20200817,070909,99,2,874,872,973,933,CAM0/20200817070909.jpg
i,0,20200817,070912,84,2,882,856,964,935,CAM0/20200817070912.jpg
i,0,20200817,070915,73,2,818,884,913,971,CAM0/20200817070915.jpg
i,0,20200817,070957,53,3,1771,698,1899,802,CAM0/20200817070957.jpg
i,0,20200817,070957,50,3,1792,664,1869,853,CAM0/20200817070957.jpg
i,0,20200817,071357,82,2,1235,820,1324,889,CAM0/20200817071357.jpg
i,0,20200817,071400,88,2,1286,908,1377,992,CAM0/20200817071400.jpg
i,0,20200817,071824,62,2,1764,219,1854,272,CAM0/20200817071824.jpg
i,0,20200817,071827,76,2,1419,710,1500,783,CAM0/20200817071827.jpg
i,0,20200817,071830,93,2,1356,727,1437,796,CAM0/20200817071830.jpg
i,0,20200817,071833,68,2,1184,666,1247,735,CAM0/20200817071833.jpg
i,0,20200817,071836,98,2,1097,752,1186,805,CAM0/20200817071836.jpg
i,0,20200817,071839,90,2,905,843,990,909,CAM0/20200817071839.jpg
